"stockcode","tradingdate","openprice","closeprice","highestprice","lowestprice","totalvol"
"MSN","2020-04-17","49373.96293226305500000000000","49050.19924090395300000000000","49697.72662362215700000000000","48969.25831806417750000000000","1417150"
"MSN","2020-04-20","49050.19924090395300000000000","48078.90816682664700000000000","49373.96293226305500000000000","48078.90816682664700000000000","1843690"
"MSN","2020-04-21","47026.67616990956550000000000","45812.56232731293300000000000","47593.26262978799400000000000","45407.85771311405550000000000","1855040"
"MSN","2020-04-22","44922.21217607540250000000000","47107.61709274934100000000000","47431.38078410844300000000000","44922.21217607540250000000000","1062970"
"MSN","2020-04-23","48159.84908966642250000000000","47107.61709274934100000000000","48402.67185818574900000000000","47107.61709274934100000000000","842920"
"MSN","2020-04-24","46783.85340139023900000000000","48159.84908966642250000000000","48159.84908966642250000000000","46298.20786435158600000000000","1218690"
"MSN","2020-04-27","48564.55370386530000000000000","47350.43986126866750000000000","48969.25831806417750000000000","47350.43986126866750000000000","1122520"
"MSN","2020-04-28","47350.43986126866750000000000","48321.73093534597350000000000","48807.37647238462650000000000","46945.73524706979000000000000","1095230"
"MSN","2020-04-29","47593.26262978799400000000000","47593.26262978799400000000000","48483.61278102552450000000000","47593.26262978799400000000000","830530"
"MSN","2020-05-04","46298.20786435158600000000000","46379.14878719136150000000000","47512.32170694821850000000000","46217.26694151181050000000000","1148810"
"MSN","2020-05-05","46298.20786435158600000000000","45650.68048163338200000000000","46541.03063287091250000000000","45650.68048163338200000000000","1098980"
"MSN","2020-05-06","46136.32601867203500000000000","46945.73524706979000000000000","46945.73524706979000000000000","45084.09402175495350000000000","1019980"
"MSN","2020-05-07","47593.26262978799400000000000","47593.26262978799400000000000","47755.14447546754500000000000","46945.73524706979000000000000","780600"
"MSN","2020-05-08","47755.14447546754500000000000","49373.96293226305500000000000","50507.13585201991200000000000","47674.20355262776950000000000","3319850"
"MSN","2020-05-11","51073.72231189834050000000000","51073.72231189834050000000000","51073.72231189834050000000000","49050.19924090395300000000000","1838950"
"MSN","2020-05-12","50992.78138905856500000000000","50183.37216066081000000000000","51154.66323473811600000000000","50021.49031498125900000000000","1028270"
"MSN","2020-05-13","49616.78570078238150000000000","50102.43123782103450000000000","50588.07677485968750000000000","48969.25831806417750000000000","1598740"
