stockcode,max_date
CPNJ2009,2021-03-30
CHPG2021,2021-03-30
CVRE2012,2021-03-30
CVNM2013,2021-03-30
CVIC2006,2021-03-30
CMBB2009,2021-03-30
CVPB2012,2021-03-30
CSTB2012,2021-03-30
CTCB2010,2021-03-30
CMSN2011,2021-03-30
CVHM2009,2021-03-30
CFPT2011,2021-03-30
CVRE2007,2021-04-01
CVPB2017,2021-04-01
CEIB2001,2021-04-01
CSTB2006,2021-04-01
CHPG2010,2021-04-01
CFPT2013,2021-04-06
CHPG2024,2021-04-06
CHPG2025,2021-04-07
CVNM2014,2021-04-07
CFPT2014,2021-04-07
CVPB2013,2021-04-07
CMSN2012,2021-04-07
CKDH2004,2021-04-07
CHPG2014,2021-04-15
CMWG2017,2021-04-22
CVRE2015,2021-04-22
CSTB2017,2021-04-22
CFPT2017,2021-04-22
CSBT2007,2021-04-23
CVHM2006,2021-04-23
CVIC2004,2021-04-23
CHDB2007,2021-04-23
CVJC2004,2021-04-23
CMSN2007,2021-04-23
CVPB2016,2021-04-28
CHPG2022,2021-04-28
CSTB2016,2021-04-28
CFPT2012,2021-04-28
CVRE2014,2021-04-28
CHDB2008,2021-04-28
CTCB2013,2021-04-28
CVHM2010,2021-04-28
CBC,2021-04-28
CVPB2011,2021-04-28
FUCTVGF1,2021-05-04
CMWG2015,2021-05-06
CREE2006,2021-05-06
CHPG2026,2021-05-06
CKH,2021-05-11
CMSN2009,2021-05-12
CHPG2018,2021-05-12
CTCH2001,2021-05-12
CKDH2001,2021-05-12
CEC,2021-05-18
CVRE2009,2021-05-25
CSTB2007,2021-05-25
CVHM2103,2021-06-02
CVPB2102,2021-06-02
CSTB2102,2021-06-02
CVIC2102,2021-06-02
ASD,2021-06-03
HPU,2021-06-03
HBW,2021-06-03
RLC,2021-06-07
SOV,2021-06-07
AC4,2021-06-08
CVH,2021-06-08
CMWG2016,2021-06-08
CVRE2011,2021-06-09
CVJC2006,2021-06-09
CNVL2003,2021-06-09
CVIC2005,2021-06-09
CSTB2010,2021-06-09
CVNM2011,2021-06-09
CVHM2008,2021-06-09
