signal_date,fill_date,ticker,detector,fill_price,window_id,days_since_buy
2025-03-07,2025-03-10,PDR,C,18885.14851485149,26,1
2025-06-02,2025-06-03,PDR,C,17126.23762376238,27,10
2017-05-24,2017-05-25,PHR,A,11597.04057804029,7,3
2017-09-22,2017-09-25,PHR,A,15731.637653689473,8,15
2019-07-18,2019-07-19,PHR,A,44875.504845460346,10,11
2020-12-15,2020-12-16,PHR,A,49046.772405150776,13,19
2024-03-11,2024-03-12,PHR,A,54471.42857142858,22,5
2025-03-25,2025-03-26,PHR,A,65404.761904761894,26,13
2014-06-27,2014-06-30,PHR,C,7490.710333839595,2,10
2015-01-28,2015-01-29,PHR,C,7066.707862112826,3,14
2015-10-12,2015-10-13,PHR,C,5763.3777418139725,4,3
2016-10-06,2016-10-07,PHR,C,6501.371233143799,5,8
2017-05-22,2017-05-23,PHR,C,10964.474728329002,7,1
2018-04-02,2018-04-03,PHR,C,17565.161855751183,9,11
2019-07-04,2019-07-05,PHR,C,41543.83857663071,10,1
2020-04-17,2020-04-20,PHR,C,32966.7651530695,11,1
2020-11-23,2020-11-24,PHR,C,47964.99312593427,13,3
2021-03-03,2021-03-04,PHR,C,48206.40714587249,14,2
2021-06-04,2021-06-07,PHR,C,42782.231381439924,16,13
2021-10-07,2021-10-08,PHR,C,41177.89770463593,17,16
2021-11-30,2021-12-01,PHR,C,55464.107112366764,18,4
2023-04-05,2023-04-06,PHR,C,37880.59561550001,20,16
2023-12-04,2023-12-05,PHR,C,44883.345481049575,21,14
2024-03-08,2024-03-11,PHR,C,52062.827988338206,22,4
2024-05-24,2024-05-27,PHR,C,55583.090379008754,23,7
2024-07-03,2024-07-04,PHR,C,57435.86005830905,24,16
2024-10-02,2024-10-03,PHR,C,56046.28279883383,25,6
2025-03-11,2025-03-12,PHR,C,63354.761904761894,26,3
2020-12-14,2020-12-15,PLX,A,46449.43923795568,13,18
2024-05-23,2024-05-24,PLX,A,39863.7837837838,23,6
2024-07-04,2024-07-05,PLX,A,42476.216216216235,24,17
2017-09-08,2017-09-11,PLX,C,49840.98559501291,8,5
2018-03-19,2018-03-20,PLX,C,63407.17102324128,9,1
2019-07-04,2019-07-05,PLX,C,51598.19983073443,10,1
2020-04-20,2020-04-21,PLX,C,34968.73883673763,11,2
2020-08-24,2020-08-25,PLX,C,41288.390433738416,12,1
2020-11-19,2020-11-20,PLX,C,43782.897355776746,13,1
2021-03-15,2021-03-16,PLX,C,49029.96364006433,14,10
2021-06-04,2021-06-07,PLX,C,49718.10348062664,16,13
2021-09-28,2021-09-29,PLX,C,45115.29056747776,17,9
2023-04-05,2023-04-06,PLX,C,34953.51450398184,20,16
