rs_formula,rs_threshold,n_within_high,hard_stop,slots,entry_option,CAGR,Sharpe_rf3,MaxDD,MaxDD_duration_days,hit_rate,turnover,total_cost_drag_pct,num_trades,avg_hold_days,sanity,error
weighted_roc,80.0,0.15,0.06,8,C,0.048495571423519346,0.11178385165115896,-0.1941581782961435,185.0,0.38,6.357832163017603,6.858313712518465,50.0,40.96,OK,
weighted_roc,70.0,0.2,0.07,5,A,0.021346839572266463,-0.09115287243418928,-0.09163222085163147,203.0,0.4074074074074074,3.2435622323459263,3.291959253892353,27.0,48.2962962962963,OK,
weighted_roc,70.0,0.2,0.07,5,C,0.03398191605022305,0.03488417790622582,-0.15525349943861724,184.0,0.3902439024390244,5.178024580382202,5.450604118198879,41.0,41.829268292682926,OK,
weighted_roc,70.0,0.2,0.07,8,A,0.011118190277167761,-0.1764591604106742,-0.10554067909389474,189.0,0.42105263157894735,4.617021500636011,4.656749567540984,38.0,42.68421052631579,OK,
weighted_roc,70.0,0.2,0.07,8,C,0.09679712943256091,0.37534189959269254,-0.18382510650384956,185.0,0.43137254901960786,6.574477524336687,7.41239310253806,51.0,47.431372549019606,OK,
weighted_roc,80.0,0.1,0.07,5,A,0.0461241990003145,0.16052609847400318,-0.07871791798323087,186.0,0.4230769230769231,3.125803698705186,3.251831820412097,26.0,49.92307692307692,OK,
weighted_roc,80.0,0.1,0.07,5,C,-0.0027615171378355674,-0.2839021968079251,-0.14254485079617824,185.0,0.3125,3.9775820545552176,4.003442649260914,32.0,41.09375,OK,
weighted_roc,80.0,0.1,0.07,8,A,0.02286046338220138,-0.06415038264436142,-0.09953057341184349,212.0,0.3333333333333333,3.9867176287028903,4.041580561548824,33.0,45.515151515151516,OK,
weighted_roc,80.0,0.1,0.07,8,C,0.03710212955897019,0.04796434847079276,-0.14326494782313506,185.0,0.30952380952380953,5.1927528280396205,5.404925906553673,42.0,40.333333333333336,OK,
weighted_roc,80.0,0.2,0.06,5,A,0.04549616496019904,0.15421531019289703,-0.07885064683827178,186.0,0.4230769230769231,3.1251898612707527,3.247653901072425,26.0,49.76923076923077,OK,
weighted_roc,80.0,0.2,0.06,5,C,0.00917263839483895,-0.17484320233010145,-0.14250654647362568,185.0,0.34146341463414637,5.1144518143903,5.2382264118267186,41.0,40.26829268292683,OK,
weighted_roc,80.0,0.2,0.06,8,A,0.021392922454799956,-0.07756682979783917,-0.09973937071983448,212.0,0.3235294117647059,4.129497364574921,4.181099748833361,34.0,44.0,OK,
weighted_roc,80.0,0.2,0.06,8,C,0.06167658649299157,0.18422828911889702,-0.18042379142656514,185.0,0.39622641509433965,6.758854024941976,7.327591972446177,53.0,42.79245283018868,OK,
weighted_roc,80.0,0.15,0.07,5,A,0.0461241990003145,0.16052609847400318,-0.07871791798323087,186.0,0.4230769230769231,3.125803698705186,3.251831820412097,26.0,49.92307692307692,OK,
weighted_roc,80.0,0.15,0.07,5,C,-0.007366691552432747,-0.3239191314158267,-0.17403331657119162,185.0,0.32432432432432434,4.59272423342817,4.643686368225339,37.0,39.432432432432435,OK,
weighted_roc,80.0,0.15,0.07,8,A,0.02286046338220138,-0.06415038264436142,-0.09953057341184349,212.0,0.3333333333333333,3.9867176287028903,4.041580561548824,33.0,45.515151515151516,OK,
weighted_roc,80.0,0.15,0.07,8,C,0.030284878660564285,0.0018817717910422842,-0.18679178326310644,185.0,0.3333333333333333,6.033206964344541,6.323713479271402,48.0,39.6875,OK,
weighted_roc,80.0,0.1,0.08,5,A,0.05651317615524776,0.2552254518242557,-0.07868865818276127,186.0,0.5,2.8924182923827226,3.0586382715928555,24.0,57.375,OK,
weighted_roc,80.0,0.1,0.08,5,C,0.030788235756824323,0.005579792470630791,-0.14190767001215396,185.0,0.4074074074074074,3.373583083108558,3.528412978030153,27.0,55.51851851851852,OK,
weighted_roc,80.0,0.1,0.08,8,A,0.027754380139986212,-0.019971825793571627,-0.09832934430377677,186.0,0.36363636363636365,4.014032226720762,4.109728223116015,33.0,47.60606060606061,OK,
weighted_roc,80.0,0.1,0.08,8,C,0.015254555063083819,-0.09692805861910984,-0.15567142419271546,185.0,0.3157894736842105,4.740856432207332,4.87624105551026,38.0,48.13157894736842,OK,
weighted_roc,80.0,0.2,0.08,5,A,0.05651317615524776,0.2552254518242557,-0.07868865818276127,186.0,0.5,2.8924182923827226,3.0586382715928555,24.0,57.375,OK,
weighted_roc,80.0,0.2,0.08,5,C,0.03325354330889074,0.022565477602905868,-0.1584381465869985,185.0,0.38235294117647056,4.275495586212562,4.48636491554825,34.0,50.705882352941174,OK,
weighted_roc,80.0,0.2,0.08,8,A,0.027754380139986212,-0.019971825793571627,-0.09832934430377677,186.0,0.36363636363636365,4.014032226720762,4.109728223116015,33.0,47.60606060606061,OK,
weighted_roc,80.0,0.2,0.08,8,C,0.024944855463175708,-0.03132439762470439,-0.1720499827648585,185.0,0.34782608695652173,5.7515472525075095,6.0142599355382105,46.0,49.23913043478261,OK,
weighted_roc,80.0,0.15,0.08,5,A,0.05651317615524776,0.2552254518242557,-0.07868865818276127,186.0,0.5,2.8924182923827226,3.0586382715928555,24.0,57.375,OK,
weighted_roc,80.0,0.15,0.08,5,C,0.018972274404940537,-0.0780432681839685,-0.18048552666440915,185.0,0.3939393939393939,4.142956107946957,4.323513028300285,33.0,48.15151515151515,OK,
weighted_roc,80.0,0.15,0.08,8,A,0.027754380139986212,-0.019971825793571627,-0.09832934430377677,186.0,0.36363636363636365,4.014032226720762,4.109728223116015,33.0,47.60606060606061,OK,
weighted_roc,80.0,0.15,0.08,8,C,0.0033519190169390978,-0.1725523695127499,-0.20444914510508597,185.0,0.3181818181818182,5.519620507351218,5.724977207467451,44.0,46.40909090909091,OK,
weighted_roc,80.0,0.1,0.06,5,A,0.04549616496019904,0.15421531019289703,-0.07885064683827178,186.0,0.4230769230769231,3.1251898612707527,3.247653901072425,26.0,49.76923076923077,OK,
weighted_roc,80.0,0.1,0.06,5,C,0.0037396478196680683,-0.2330637517971716,-0.12641072763934189,185.0,0.35294117647058826,4.22489477883544,4.254630044882,34.0,38.0,OK,
weighted_roc,80.0,0.1,0.06,8,A,0.021392922454799956,-0.07756682979783917,-0.09973937071983448,212.0,0.3235294117647059,4.129497364574921,4.181099748833361,34.0,44.0,OK,
weighted_roc,80.0,0.1,0.06,8,C,0.046728857769606114,0.10302075432884163,-0.1603194423411619,185.0,0.3488372093023256,5.3385767281902865,5.619286415516846,43.0,40.95348837209303,OK,
weighted_roc,80.0,0.2,0.07,5,A,0.0461241990003145,0.16052609847400318,-0.07871791798323087,186.0,0.4230769230769231,3.125803698705186,3.251831820412097,26.0,49.92307692307692,OK,
weighted_roc,80.0,0.2,0.07,5,C,0.004511551207158515,-0.2136771911628206,-0.15861612017091603,185.0,0.3333333333333333,4.838733451239046,4.916931776413859,39.0,41.30769230769231,OK,
weighted_roc,80.0,0.2,0.07,8,A,0.02286046338220138,-0.06415038264436142,-0.09953057341184349,212.0,0.3333333333333333,3.9867176287028903,4.041580561548824,33.0,45.515151515151516,OK,
weighted_roc,80.0,0.2,0.07,8,C,0.04288431090901734,0.08053090739815111,-0.16070878584519258,185.0,0.3333333333333333,6.4200292127704595,6.771190100572939,51.0,42.1764705882353,OK,
roc126,60.0,0.1,0.06,5,A,0.09402381926635095,0.6150201782668157,-0.08258353362385015,186.0,0.5,3.6683268376383396,4.103716634329597,30.0,46.43333333333333,OK,
roc126,60.0,0.1,0.06,5,C,-0.002999282894043276,-0.268481923435526,-0.1684552532868687,229.0,0.3181818181818182,5.517254927672924,5.56428079942938,44.0,30.09090909090909,OK,
roc126,60.0,0.1,0.06,8,A,0.0768351789118642,0.3394209386870846,-0.10985207643113333,187.0,0.4186046511627907,5.26201819541072,5.7391529155219345,43.0,40.74418604651163,OK,
roc126,60.0,0.1,0.06,8,C,0.12196036514741349,0.43846286847234456,-0.17434043153964437,187.0,0.4489795918367347,6.146987743744316,7.252970658664353,49.0,41.224489795918366,OK,
roc126,60.0,0.1,0.07,5,A,0.09340313430515668,0.6065467574479388,-0.08529783464697456,186.0,0.5,3.672784044824843,4.108506325477519,30.0,47.03333333333333,OK,
roc126,60.0,0.1,0.07,5,C,0.004912648331226066,-0.20778715780279725,-0.15592824733003144,229.0,0.37209302325581395,5.384247981043967,5.497804649235024,43.0,31.232558139534884,OK,
roc126,60.0,0.1,0.07,8,A,0.08080954309243582,0.3674381305123345,-0.10988325033949514,187.0,0.42857142857142855,5.14562188037621,5.650694059853441,42.0,42.23809523809524,OK,
roc126,60.0,0.1,0.07,8,C,0.12023241205159874,0.42732195712276855,-0.172639121705931,186.0,0.425531914893617,5.852790880005386,6.852275445426775,47.0,44.48936170212766,OK,
roc126,60.0,0.1,0.08,5,A,0.10178336765889107,0.6741891269226381,-0.0852704040857295,186.0,0.5714285714285714,3.447799410876295,3.912212678432126,28.0,50.607142857142854,OK,
roc126,60.0,0.1,0.08,5,C,0.02600028773141516,-0.026803888319873414,-0.13194448257973682,186.0,0.3902439024390244,5.131554379573821,5.325690242730021,41.0,36.853658536585364,OK,
roc126,60.0,0.1,0.08,8,A,0.08513933421846986,0.39230678232100463,-0.10998017994985182,187.0,0.45,4.899573440161857,5.425471124187677,40.0,45.0,OK,
roc126,60.0,0.1,0.08,8,C,0.07795225091456404,0.22935738912312342,-0.17747482057509234,185.0,0.4,6.37092232728952,7.172365034234626,50.0,41.78,OK,
roc126,60.0,0.15,0.06,5,A,0.09402381926635095,0.6150201782668157,-0.08258353362385015,186.0,0.5,3.6683268376383396,4.103716634329597,30.0,46.43333333333333,OK,
