date,ticker,shares,mark_price,mark_value
2017-07-19,BID,11800,10061.819856975244,118729474.31230788
2017-07-19,MBB,30800,4257.603343421736,131134182.97738947
2017-07-19,MWG,5200,23512.972594404553,122267457.49090368
2017-07-19,NKG,10200,11452.048643956472,116810896.16835602
2017-07-19,CTS,27900,4769.908603762798,133080450.04498206
2017-07-19,PHR,9900,12522.97030008148,123977405.97080666
2017-07-20,BID,11800,10352.318593003401,122157359.39744014
2017-07-20,MBB,30800,4319.909733813274,133053219.80144885
2017-07-20,MWG,5200,23144.502896549046,120351415.06205504
2017-07-20,NKG,10200,11558.579329016533,117897509.15596864
2017-07-20,CTS,27900,4731.901363892178,132020048.05259176
2017-07-20,PHR,9900,12541.305542102098,124158924.86681077
2017-09-06,VIC,6500,18444.44559701735,119888896.38061278
2017-09-07,VIC,6500,18426.001151420332,119769007.48423216
2017-09-07,HPG,17800,6716.285608864533,119549883.83778869
2017-09-08,VIC,6500,18665.77894418156,121327563.13718013
2017-09-08,HPG,17800,6801.421623624788,121065304.90052122
2017-09-08,MSN,2900,43060.570950760564,124875655.75720564
2017-09-08,VGC,8800,13394.410916053244,117870816.06126855
2017-09-11,VIC,6500,18186.223358659106,118210451.8312842
2017-09-11,HPG,17800,6678.447380082198,118876363.36546312
2017-09-11,MSN,2900,43303.39371927989,125579841.78591168
2017-09-11,VGC,8800,13050.964482308289,114848487.44431295
2017-09-12,VIC,6500,18186.223358659106,118210451.8312842
2017-09-12,HPG,17800,6706.82605166895,119381503.71970731
2017-09-12,MSN,2900,44598.4484847163,129335500.60567726
2017-09-12,VGC,8800,13737.8573497982,120893144.67822416
2017-09-12,GEX,13600,9290.114385160034,126345555.63817646
2017-09-13,VIC,6500,17743.556664330692,115333118.31814949
2017-09-13,HPG,17800,6981.153210340881,124264527.14406767
2017-09-13,MSN,2900,45326.91679027428,131448058.69179541
2017-09-13,VGC,8800,14218.682357041136,125124404.741962
2017-09-13,GEX,13600,9267.383068200297,126036409.72752404
2017-09-14,VIC,6500,18130.890021868054,117850785.14214236
2017-09-14,HPG,17800,6943.314981558546,123591006.67174211
2017-09-14,MSN,2900,45569.739558793604,132152244.72050145
2017-09-14,VGC,8800,14149.993070292145,124519939.01857087
2017-09-14,GEX,13600,9005.098641741799,122469341.52768846
2017-09-14,MWG,4600,26368.61275278473,121295618.66280976
2017-09-14,PDR,15600,7911.621227159233,123421291.14368403
2017-09-14,PTB,3200,37621.04964000905,120387358.84802896
2017-09-15,VIC,6500,18038.667793882967,117251340.66023928
2017-09-15,HPG,17800,7000.072324732048,124601287.38023046
2017-09-15,MSN,2900,45407.857713114056,131682787.36803076
2017-09-15,VGC,8800,14493.4395040371,127542267.63552648
2017-09-15,GEX,13600,9179.954926047465,124847386.99424553
2017-09-15,MWG,4600,26207.407259972948,120554073.39587556
2017-09-15,PDR,15600,7938.623347388446,123842524.21925975
2017-09-15,PTB,3200,38002.712462443924,121608679.87982056
2017-09-18,VIC,6500,18075.556685077005,117491118.45300053
2017-09-18,HPG,17800,7123.046568274639,126790228.91528857
2017-09-18,MSN,2900,45569.739558793604,132152244.72050145
2017-09-18,VGC,8800,14424.750217288109,126937801.91213536
2017-09-18,GEX,13600,9179.954926047465,124847386.99424553
2017-09-18,MWG,4600,26299.524684436827,120977813.5484094
2017-09-18,PDR,15600,7965.625467617659,124263757.29483548
2017-09-18,PTB,3200,38847.82299783543,124313033.59307337
2017-09-19,VIC,6500,18112.44557627104,117730896.24576175
2017-09-19,HPG,17800,7189.263468643726,127968889.74185832
2017-09-19,MSN,2900,44922.2121760754,130274415.31061867
2017-09-19,VGC,8800,14905.575224531047,131169061.97587322
2017-09-19,GEX,13600,9442.239352505963,128414455.1940811
