ticker,buy_date,buy_price,buy_cost_vnd,sell_date,sell_price,sell_cost_vnd,pnl_vnd,pnl_pct,exit_reason
KDC,2016-08-16,18923.54978491657,119635627.91773179,2016-09-19,22029.57094020665,624538.3361548483,18526130.669415265,0.1641352278294954,mdm_sell
NT2,2016-08-17,15485.11180081802,121206615.59854287,2016-09-19,15136.151534884093,531278.9188744277,-3675912.545321375,-0.022535211267605625,mdm_sell
CTD,2016-08-19,103557.85590958278,114312339.24579294,2016-09-19,117576.60496284509,582004.194566071,14439922.018770576,0.13537117903930138,mdm_sell
BMP,2016-09-07,44177.273753440335,128562493.21357436,2016-09-19,44719.801676728195,583593.4118812978,541338.2370561063,0.012280701754385883,mdm_sell
SJS,2016-09-28,8492.368695652187,124422542.99686974,2016-10-10,7950.302608695665,522334.88139130175,-8870459.791304335,-0.06382978723404245,hard_stop
BVH,2016-09-28,57553.27387883535,121284891.70856367,2016-10-11,58539.90143104396,553202.0685233623,1095699.2281052768,0.01714285714285716,mdm_sell
KBC,2016-09-28,13110.764194373403,123672527.56910487,2016-10-11,12692.335549872125,536885.7937595844,-4901459.19406648,-0.03191489361702125,mdm_sell
BMP,2016-09-29,48181.646520565046,120875705.70846754,2016-10-11,49395.87568220931,555703.6014248431,2058279.895630896,0.025201072386058992,mdm_sell
CTD,2017-03-28,129635.74393339315,117080522.13344401,2017-04-07,120591.389705482,488395.1283071935,-9036666.526817411,-0.06976744186046517,ma50_break
CII,2017-03-22,28752.218108120167,121181973.66029406,2017-04-14,26319.338114356153,497435.4903613329,-11138189.070359543,-0.08461538461538462,hard_stop
ACB,2017-03-22,4340.1024407174245,122819256.93913017,2017-04-17,3975.533835697161,504495.24374996126,-11213698.016220197,-0.08399999999999996,hard_stop
FPT,2017-03-24,10716.626745380821,122597138.30448204,2017-04-17,10175.271373706944,521991.42147116363,-7121036.065694034,-0.050515463917525816,ma50_break
MBB,2017-03-22,3208.7791051641866,123004375.58363236,2017-04-18,3136.0883163740596,539093.581584692,-3744895.4797279835,-0.022653721682847846,mdm_sell
MSN,2017-03-23,38123.17465753426,122421138.460274,2017-04-18,36018.7106637001,518669.43355727196,-7679933.769990951,-0.055201698513800454,mdm_sell
KDC,2017-03-24,26285.283508201115,121335497.20220715,2017-04-18,24407.763257615323,505240.69943262637,-9565026.916609287,-0.07142857142857137,mdm_sell
NLG,2017-03-24,12350.76085081248,122700486.28652419,2017-04-18,13071.973163268683,582356.4044236094,6129691.625412166,0.05839416058394167,mdm_sell
