c_yoy,a_cagr,n_proximity,hard_stop,slots,entry_option,CAGR,Sharpe_rf3,MaxDD,MaxDD_duration_days,hit_rate,turnover,total_cost_drag_pct,num_trades,avg_hold_days,sanity_flag,error
0.1,0.1,0.2,0.07,10,A,0.022399912779199616,-0.0566774867953934,-0.16879763658557279,383,0.5263157894736842,4.702186843289607,4.836660274281451,38,37.973684210526315,OK,
0.1,0.1,0.2,0.07,10,C,0.02592747201897705,-0.025540963957194088,-0.19749533134843783,383,0.40476190476190477,10.663695722488882,10.866114276734159,84,29.44047619047619,OK,
0.1,0.1,0.15,0.1,8,A,0.017224827456301606,-0.09476982980436155,-0.168310663634147,383,0.5263157894736842,4.697784239192121,4.7970006988752,38,38.578947368421055,OK,
0.1,0.1,0.15,0.1,8,C,0.01618454904292177,-0.07509144677737209,-0.23077368770771034,393,0.3888888888888889,8.99743169119291,9.039927331662428,72,31.0,OK,
0.1,0.1,0.15,0.1,10,A,0.017224827456301606,-0.09476982980436155,-0.168310663634147,383,0.5263157894736842,4.697784239192121,4.7970006988752,38,38.578947368421055,OK,
0.1,0.1,0.15,0.1,10,C,0.01618454904292177,-0.07509144677737209,-0.23077368770771034,393,0.3888888888888889,8.99743169119291,9.039927331662428,72,31.0,OK,
0.1,0.1,0.2,0.06,10,A,0.023140367321171196,-0.05141702562633012,-0.16826413277298313,383,0.5263157894736842,4.710630403532994,4.853902194312038,38,36.71052631578947,OK,
0.1,0.1,0.2,0.06,10,C,0.02954365185273722,-0.0028793633278290072,-0.196843368590234,383,0.4069767441860465,10.952625707645074,11.262988533335147,86,28.13953488372093,OK,
0.1,0.1,0.2,0.07,5,A,0.02422346228815564,-0.047191880897945765,-0.15852217164260282,383,0.53125,3.94117934247938,4.064245805805085,32,40.375,OK,
0.1,0.1,0.2,0.07,5,C,0.028744149938236152,-0.009539721606652082,-0.16334794050611184,383,0.42857142857142855,8.068439216638922,8.281406966382534,63,29.53968253968254,OK,
0.1,0.1,0.2,0.08,5,A,0.02413331846268818,-0.04788713775530902,-0.15852217164260282,383,0.53125,3.94140985469376,4.064243565811349,32,40.46875,OK,
0.1,0.1,0.2,0.08,5,C,0.03061564063597544,0.0038817960474002177,-0.19831312301739307,383,0.45161290322580644,7.939673856455485,8.15831816335161,62,30.629032258064516,OK,
0.1,0.1,0.2,0.08,8,A,0.022309124520873302,-0.057313421093729486,-0.16879763658557279,383,0.5263157894736842,4.702462559246456,4.836658034287715,38,38.05263157894737,OK,
0.1,0.1,0.2,0.08,8,C,0.026418090191681953,-0.01932813430716671,-0.23077448847901083,383,0.4146341463414634,10.411829202004116,10.59052750156198,82,30.48780487804878,OK,
0.1,0.1,0.2,0.08,10,A,0.022309124520873302,-0.057313421093729486,-0.16879763658557279,383,0.5263157894736842,4.702462559246456,4.836658034287715,38,38.05263157894737,OK,
0.1,0.1,0.2,0.08,10,C,0.026418090191681953,-0.01932813430716671,-0.23077448847901083,383,0.4146341463414634,10.411829202004116,10.59052750156198,82,30.48780487804878,OK,
0.1,0.1,0.2,0.1,5,A,0.019326198412582096,-0.08605226431672043,-0.159327491468858,383,0.53125,3.9395662168243493,4.034289079681264,32,41.09375,OK,
0.1,0.1,0.2,0.1,5,C,0.031714168233804685,0.010822430276665745,-0.1979375739729942,383,0.45901639344262296,7.780098806893665,7.978378464525714,61,31.131147540983605,OK,
0.1,0.15,0.05,0.06,5,A,0.020795047202875283,-0.07528707197561568,-0.15880914980127858,363,0.5333333333333333,3.7096603651408864,3.827578017219158,30,40.833333333333336,OK,
0.1,0.15,0.05,0.06,5,C,0.012963954126458566,-0.1329683809955856,-0.16911260541547338,363,0.425,4.945029280657862,4.997330342955967,40,33.125,OK,
0.1,0.15,0.05,0.06,8,A,0.01867806673361061,-0.08488285607302945,-0.16886795319748293,363,0.5142857142857142,4.3569905875621275,4.481678180989047,35,38.25714285714286,OK,
0.1,0.15,0.05,0.06,8,C,0.010917727285551626,-0.13087963566487942,-0.1832991534926451,363,0.4166666666666667,5.907404812102915,5.939574684907675,48,32.645833333333336,OK,
0.1,0.15,0.05,0.08,5,A,0.019637725812621687,-0.08471059497058923,-0.1589738068196258,363,0.5172413793103449,3.581238988527826,3.686132228160829,29,42.724137931034484,OK,
0.1,0.15,0.05,0.08,5,C,0.011179969928289735,-0.14617335452672936,-0.16958928078887808,363,0.4473684210526316,4.69308904881916,4.729286244977286,38,35.73684210526316,OK,
0.1,0.15,0.05,0.08,8,A,0.017565592408335773,-0.09335829058868401,-0.16816745417213613,363,0.5142857142857142,4.346400464829297,4.461081507542358,35,39.714285714285715,OK,
0.1,0.15,0.05,0.08,8,C,0.009200439354474232,-0.14210003593120696,-0.18332554135673118,363,0.44680851063829785,5.788298696048425,5.805029361492932,47,34.46808510638298,OK,
0.1,0.15,0.05,0.06,10,A,0.01867806673361061,-0.08488285607302945,-0.16886795319748293,363,0.5142857142857142,4.3569905875621275,4.481678180989047,35,38.25714285714286,OK,
0.1,0.15,0.05,0.06,10,C,0.010917727285551626,-0.13087963566487942,-0.1832991534926451,363,0.4166666666666667,5.907404812102915,5.939574684907675,48,32.645833333333336,OK,
0.1,0.15,0.05,0.07,5,A,0.019727964515216856,-0.08403117846079718,-0.1589738068196258,363,0.5172413793103449,3.581032602077159,3.686134431433357,29,42.62068965517241,OK,
0.1,0.15,0.05,0.07,5,C,0.011769868970368913,-0.1422809283142155,-0.16907390025332103,363,0.42105263157894735,4.6946387474419105,4.738226516651041,38,35.10526315789474,OK,
0.1,0.15,0.05,0.07,8,A,0.01765656759665757,-0.09273057414245454,-0.16816745417213613,363,0.5142857142857142,4.346149281746644,4.461083710814886,35,39.628571428571426,OK,
0.1,0.15,0.05,0.07,8,C,0.009559779677035474,-0.13982458698269787,-0.18328582204287933,363,0.425531914893617,5.790510036297037,5.811491560752054,47,33.93617021276596,OK,
0.1,0.15,0.05,0.07,10,A,0.01765656759665757,-0.09273057414245454,-0.16816745417213613,363,0.5142857142857142,4.346149281746644,4.461083710814886,35,39.628571428571426,OK,
0.1,0.15,0.05,0.07,10,C,0.009559779677035474,-0.13982458698269787,-0.18328582204287933,363,0.425531914893617,5.790510036297037,5.811491560752054,47,33.93617021276596,OK,
0.1,0.15,0.05,0.08,10,A,0.017565592408335773,-0.09335829058868401,-0.16816745417213613,363,0.5142857142857142,4.346400464829297,4.461081507542358,35,39.714285714285715,OK,
0.1,0.15,0.05,0.08,10,C,0.009200439354474232,-0.14210003593120696,-0.18332554135673118,363,0.44680851063829785,5.788298696048425,5.805029361492932,47,34.46808510638298,OK,
0.1,0.15,0.05,0.1,5,A,0.014561787967842577,-0.1254679142433602,-0.15868648398442634,363,0.5172413793103449,3.5701702876849652,3.6483137507461336,29,43.41379310344828,OK,
0.1,0.15,0.05,0.1,5,C,0.006039488473602805,-0.18489724182389825,-0.16951115467598368,363,0.4473684210526316,4.680344901024747,4.673612717997427,38,35.94736842105263,OK,
0.1,0.1,0.2,0.1,8,A,0.017224827456301606,-0.09476982980436155,-0.168310663634147,383,0.5263157894736842,4.697784239192121,4.7970006988752,38,38.578947368421055,OK,
0.1,0.1,0.2,0.1,8,C,0.021562205954453573,-0.04530309235670429,-0.23094067312997277,383,0.4146341463414634,10.34107055658549,10.426565878245416,82,30.573170731707318,OK,
0.1,0.1,0.2,0.1,10,A,0.017224827456301606,-0.09476982980436155,-0.168310663634147,383,0.5263157894736842,4.697784239192121,4.7970006988752,38,38.578947368421055,OK,
