date,ticker,shares,mark_price,mark_value
2021-06-18,HPG,6500,29869.26847817686,194150245.1081496
2021-06-21,PDR,4500,55538.451835084765,249923033.25788143
2021-06-21,DGC,7300,31528.91054704039,230161046.99339482
2021-06-21,HPG,6500,29353.292631145014,190796402.1024426
2021-06-22,PDR,4500,54249.71427869053,244123714.2541074
2021-06-22,DGC,7300,31490.12959925805,229877946.07458377
2021-06-22,HPG,6500,29639.945879496037,192659648.21672425
2021-06-23,PDR,4500,52838.23981216351,237772079.1547358
2021-06-23,DGC,7300,30830.853486958313,225065230.4547957
2021-06-23,HPG,6500,29467.953930485422,191541700.54815525
2021-06-24,PDR,4500,54617.92500908888,245780662.54089996
2021-06-24,DGC,7300,30792.072539175973,224782129.5359846
2021-06-24,HPG,6500,29009.30873312378,188560506.76530457
2021-06-25,PDR,4500,58300.0323130724,262350145.40882578
2021-06-25,DGC,7300,31412.567703693374,229311744.23696163
2021-06-25,HPG,6500,29066.639382793986,188933155.9881609
2021-06-28,PDR,4500,58054.558492806835,261245513.21763074
2021-06-28,DGC,7300,32188.186659340125,234973762.6131829
2021-06-28,HPG,6500,30041.260427187473,195268192.7767186
2021-06-29,PDR,4500,58852.34840866993,264835567.83901468
2021-06-29,DGC,7300,31955.5009726461,233275157.10031652
2021-06-29,HPG,6500,29697.276529166244,193032297.4395806
2021-06-29,HSG,5100,32159.781141049127,164014883.81935054
2021-06-29,NKG,9000,18512.31757538787,166610858.17849085
2021-06-30,PDR,4500,57318.13703201013,257931616.64404556
2021-06-30,DGC,7300,31645.2533903874,231010349.749828
2021-06-30,HPG,6500,29525.28458015563,191914349.7710116
2021-06-30,HSG,5100,32083.21023357044,163624372.19120926
2021-06-30,NKG,9000,18538.428037412395,166845852.33671156
2021-07-01,PDR,4500,58852.34840866993,264835567.83901468
2021-07-01,DGC,7300,32265.7485549048,235539964.45080504
2021-07-01,HPG,6500,30270.583025868294,196758789.66814393
2021-07-01,HSG,5100,32619.20658592126,166357953.58819842
2021-07-01,NKG,9000,19008.416353853838,171075747.18468454
2021-07-02,PDR,4500,58852.34840866993,264835567.83901468
2021-07-02,DGC,7300,32265.7485549048,235539964.45080504
2021-07-02,HPG,6500,29983.929777517267,194895543.55386224
2021-07-02,HSG,5100,32466.06477096388,165576930.3319158
2021-07-02,NKG,9000,19191.189588025507,172720706.29222956
2021-07-05,PDR,4500,58300.0323130724,262350145.40882578
2021-07-05,DGC,7300,32459.653293816486,236955469.04486033
2021-07-05,HPG,6500,29353.292631145014,190796402.1024426
2021-07-05,HSG,5100,31853.497511134374,162452837.30678532
2021-07-05,NKG,9000,19217.30005005003,172955700.45045027
2021-07-06,PDR,4500,57931.82158267405,260693197.1220332
2021-07-06,DGC,7300,30249.139270223248,220818716.6726297
2021-07-06,HPG,6500,27518.71184169845,178871626.97103992
2021-07-06,HSG,5100,29632.94119425241,151128000.09068727
2021-07-06,NKG,9000,17885.666486799284,160970998.38119355
2021-07-07,PDR,4500,59036.45377386911,265664041.98241097
2021-07-07,DGC,7300,32343.310450469475,236106166.28842717
2021-07-07,NKG,9000,18225.102493118102,164025922.4380629
