ticker,buy_date,buy_price,buy_cost_vnd,sell_date,sell_price,sell_cost_vnd,pnl_vnd,pnl_pct,exit_reason
VHM,2021-11-30,83074.4680851064,166730457.44680852,2021-12-06,78604.96453900711,707444.6808510423,-10227973.049645334,-0.05380116959064331,mdm_sell
VHC,2022-06-01,75410.96827003668,158917303.98386177,2022-06-14,67048.41732350661,633607.5437071323,-18749235.148205012,-0.11089303238469084,hard_stop
REE,2022-06-08,62817.0074950787,163895854.2554098,2022-06-14,55216.14958817418,646028.9501816332,-20979894.276338577,-0.121,hard_stop
VSC,2022-06-02,19627.1881782917,165445420.03009203,2022-06-15,18842.10065116003,712231.4046138525,-7884005.964961618,-0.04000000000000005,mdm_sell
DGC,2022-06-13,105931.95944698459,159454081.95757353,2022-06-17,112621.50764547523,760195.1766069531,8717984.334032357,0.0631494804156675,mdm_sell
VGC,2022-08-12,53817.07627867254,156615764.53237885,2022-09-15,54685.093638005965,713640.4719759822,1257366.545862466,0.016129032258064474,mdm_sell
KOS,2022-12-06,37300.0,157208309.99999997,2022-12-27,37550.0,709695.0,-208004.9999999702,0.006702412868632708,mdm_sell
KOS,2023-03-10,38100.0,160580069.99999997,2023-03-24,38100.0,720090.0,-1280159.9999999702,0.0,mdm_sell
BMP,2023-05-17,62847.38736448572,157668383.05065355,2023-05-23,60324.029277078465,678645.329367131,-7536955.187324524,-0.040150564617315754,hard_stop
KOS,2023-05-12,38000.0,160158599.99999997,2023-06-26,38200.0,721980.0,-440579.9999999702,0.005263157894736842,mdm_sell
PVD,2023-05-12,21807.726269315674,159753589.1721854,2023-06-26,23665.783664459163,777420.9933774769,12229210.584989011,0.08520179372197315,mdm_sell
PVD,2024-04-03,34129.58057395143,160970460.2980132,2024-04-09,32271.523178807947,682542.7152317762,-9976844.072847635,-0.054441260744985606,hard_stop
PVD,2024-05-17,32075.938189845474,157722199.47019866,2024-05-27,31293.598233995584,690023.8410595953,-5073591.964679897,-0.024390243902439022,ma50_break
TCH,2024-05-22,16410.23407729996,158089631.00707686,2024-05-28,15917.927054980963,687654.4487751722,-5965185.728034794,-0.029999999999999895,hard_stop
CTD,2024-05-20,66488.05859274406,153457763.63498288,2024-07-01,65189.82592845059,674714.6983594596,-4195878.6979059875,-0.01952580195258013,mdm_sell
PVT,2024-05-20,22482.515586879897,157928430.74003783,2024-07-01,21470.802385470302,676330.275142312,-8309144.316888034,-0.044999999999999984,mdm_sell
FRT,2024-08-22,150640.0,151167239.99999997,2024-08-28,142400.0,640800.0,-9408039.99999997,-0.05469994689325544,hard_stop
KOS,2024-08-26,39800.0,155763269.99999997,2024-09-11,39850.0,699367.5,-1047637.4999999702,0.001256281407035176,mdm_sell
BMP,2024-12-06,116599.91948380352,152110424.96259585,2024-12-18,112363.27154047416,657325.1385117769,-6695497.098491222,-0.03633491311216432,ma50_break
FRT,2024-12-06,146000.0,146510999.99999997,2024-12-23,147200.0,662400.0,26600.000000029802,0.00821917808219178,mdm_sell
SIP,2024-12-06,71508.79319811524,150694055.34604812,2024-12-23,71354.62078411793,674301.1664099097,-1523652.8658103645,-0.0021559923906165433,mdm_sell
VCG,2025-03-12,19882.592135533312,153631795.30165908,2025-03-18,18810.272559684323,651775.9441930652,-9444472.536282867,-0.053932584269663,hard_stop
DBC,2025-06-24,27913.449781659376,156862422.393013,2025-09-10,28650.0,721980.0,2855597.6069869995,0.02638692902890767,ma50_break
GEE,2025-05-12,78046.12903992312,148806651.9339694,2025-09-16,114744.42435201931,981064.8282097578,68226689.50665754,0.4702128826059243,ma50_break
KBC,2025-08-14,33800.0,179766989.99999997,2025-10-15,35600.0,849060.0,8063950.00000003,0.05325443786982249,ma50_break
HPG,2025-07-04,23150.0,160294072.49999997,2025-10-21,26300.0,816615.0,20359312.50000003,0.13606911447084233,ma50_break
HAG,2025-10-07,16750.0,189937462.49999997,2025-10-21,15400.0,783090.0,-16700552.49999997,-0.08059701492537313,hard_stop
VIC,2025-05-16,39350.0,154002127.49999997,2025-11-03,95550.005,1676902.587749958,216965989.41225007,1.4282085133418045,mdm_sell
GEE,2025-10-13,150694.3942133816,181466189.5117541,2025-11-03,173840.2652200121,938737.4321880639,26203391.320072383,0.15359477124183005,mdm_sell
HAG,2025-11-18,18850.0,192942945.0,2025-11-24,17800.0,817020.0,-12199965.0,-0.05570291777188329,hard_stop
ANV,2025-11-19,31050.0,193183784.99999997,2025-11-26,29200.0,814680.0,-12958464.99999997,-0.05958132045088567,hard_stop
