stage,combo_id,config_name,dxy_easing_z_threshold,dxy_tightening_z_threshold,dxy_tightening_dd_threshold,eem_easing_z_threshold,eem_tightening_z_threshold,sbv_tightening_stop_loss_max_multiplier,dxy_window_days,eem_window_days,sbv_decay_days,macro_filter_enabled,cagr_train_pct,sharpe_rf3_train,max_dd_train_pct,cagr_eval_2019_pct,cagr_eval_2020_pct,cagr_eval_2021_pct,cagr_eval_2022_pct,cagr_eval_2023_pct,cagr_eval_2024_pct,sharpe_rf3_eval_2019,sharpe_rf3_eval_2020,sharpe_rf3_eval_2021,sharpe_rf3_eval_2022,sharpe_rf3_eval_2023,sharpe_rf3_eval_2024,max_dd_eval_2019_pct,max_dd_eval_2020_pct,max_dd_eval_2021_pct,max_dd_eval_2022_pct,max_dd_eval_2023_pct,max_dd_eval_2024_pct,degradation_2019,degradation_2020,degradation_2021,degradation_2022,degradation_2023,degradation_2024,median_degradation,median_eval_cagr_pct,eval_years_count,accepted,rejection_reason,error_train,error_year_2019,error_year_2020,error_year_2021,error_year_2022,error_year_2023,error_year_2024
stage1_dxy,20,stage1_dxy-c20,-0.5,0.5,4,1.0,-1.0,1.5,20,20,90,True,8.86,0.42439513248699035,-13.45,7.41,47.59,-11.56,35.51,1.38,-11.86,0.4447235932279544,2.22114292554328,-0.8144812148594476,1.285896435479781,-0.12730389248558494,-1.524198648958591,-8.74,-15.29,-19.68,-15.33,-12.72,-11.82,0.16365688487584643,-4.371331828442439,2.304740406320542,-3.007900677200903,0.8442437923250564,2.3386004514672685,0.5039503386004515,4.395,6,False,median_degradation 0.504 >= 0.30,,,,,,,
stage1_dxy,21,stage1_dxy-c21,-0.5,1.0,2,1.0,-1.0,1.5,20,20,90,True,10.03,0.5157678862930463,-13.59,9.07,47.59,-11.56,36.95,2.08,-11.86,0.6170270157757678,2.22114292554328,-0.8144812148594476,1.3443827563339925,-0.07226669831272331,-1.524198648958591,-8.74,-15.29,-19.68,-15.33,-12.72,-11.82,0.09571286141575265,-3.7447657028913266,2.152542372881356,-2.6839481555334,0.7926221335992024,2.1824526420737786,0.4441674975074775,5.575,6,False,median_degradation 0.444 >= 0.30,,,,,,,
stage1_dxy,22,stage1_dxy-c22,-0.5,1.0,3,1.0,-1.0,1.5,20,20,90,True,9.87,0.5025153662773654,-13.95,7.75,47.59,-11.56,36.95,1.38,-11.86,0.47923690160365334,2.22114292554328,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.524198648958591,-8.74,-15.29,-19.68,-15.33,-12.72,-11.82,0.21479229989868281,-3.8216818642350567,2.171225937183384,-2.7436676798378934,0.8601823708206686,2.2016210739614994,0.5374873353596757,4.5649999999999995,6,False,median_degradation 0.537 >= 0.30,,,,,,,
stage1_dxy,23,stage1_dxy-c23,-0.5,1.0,4,1.0,-1.0,1.5,20,20,90,True,9.0,0.43534328083113544,-13.45,7.75,47.59,-11.56,35.51,1.38,-11.86,0.47923690160365334,2.22114292554328,-0.8144812148594476,1.285896435479781,-0.12730389248558494,-1.524198648958591,-8.74,-15.29,-19.68,-15.33,-12.72,-11.82,0.1388888888888889,-4.287777777777778,2.2844444444444445,-2.9455555555555555,0.8466666666666667,2.3177777777777777,0.49277777777777776,4.5649999999999995,6,False,median_degradation 0.493 >= 0.30,,,,,,,
stage1_dxy,24,stage1_dxy-c24,-0.5,1.5,2,1.0,-1.0,1.5,20,20,90,True,9.77,0.49546221468954954,-13.59,7.44,50.75,-11.56,36.03,2.08,-11.86,0.481002139944488,2.4171129162980765,-0.8144812148594476,1.3063261074112567,-0.07226669831272331,-1.524198648958591,-8.74,-15.29,-19.68,-15.33,-12.72,-11.82,0.23848515864892522,-4.194472876151485,2.1832139201637664,-2.6878198567041967,0.7871033776867963,2.2139201637666326,0.5127942681678608,4.76,6,False,median_degradation 0.513 >= 0.30,,,,,,,
stage1_dxy,25,stage1_dxy-c25,-0.5,1.5,3,1.0,-1.0,1.5,20,20,90,True,9.45,0.4718396926522481,-13.95,6.14,50.75,-11.56,36.03,1.38,-11.86,0.33728089361245256,2.4171129162980765,-0.8144812148594476,1.3063261074112567,-0.12730389248558494,-1.524198648958591,-8.74,-15.29,-19.68,-15.33,-12.72,-11.82,0.3502645502645502,-4.37037037037037,2.223280423280423,-2.812698412698413,0.853968253968254,2.255026455026455,0.6021164021164022,3.76,6,False,median_degradation 0.602 >= 0.30,,,,,,,
stage1_dxy,26,stage1_dxy-c26,-0.5,1.5,4,1.0,-1.0,1.5,20,20,90,True,9.71,0.4850836773363476,-12.74,6.14,50.75,-11.56,36.03,1.38,-11.86,0.33728089361245256,2.4171129162980765,-0.8144812148594476,1.3063261074112567,-0.12730389248558494,-1.524198648958591,-8.74,-15.29,-19.68,-15.33,-12.72,-11.82,0.36766220391349136,-4.226570545829042,2.1905252317198767,-2.7106076210092684,0.8578784757981464,2.2214212152420183,0.6127703398558189,3.76,6,False,median_degradation 0.613 >= 0.30,,,,,,,
stage2_eem,0,stage2_eem-c0,-1.0,1.0,3,0.5,-1.5,1.5,20,20,90,True,9.6,0.48263510330431797,-13.95,5.63,46.81,-11.56,36.95,1.38,-12.49,0.2675164506788865,2.178829049837865,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-9.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.41354166666666664,-3.876041666666667,2.2041666666666666,-2.8489583333333335,0.85625,2.301041666666667,0.6348958333333333,3.505,6,False,median_degradation 0.635 >= 0.30,,,,,,,
stage2_eem,1,stage2_eem-c1,-1.0,1.0,3,0.5,-1.0,1.5,20,20,90,True,9.87,0.5025153662773654,-13.95,5.63,46.81,-11.56,36.95,1.38,-12.49,0.2675164506788865,2.178829049837865,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-9.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.42958459979736574,-3.742654508611956,2.171225937183384,-2.7436676798378934,0.8601823708206686,2.265450861195542,0.6448834853090172,3.505,6,False,median_degradation 0.645 >= 0.30,,,,,,,
stage2_eem,2,stage2_eem-c2,-1.0,1.0,3,0.5,-0.5,1.5,20,20,90,True,9.72,0.4913016050565525,-13.95,6.07,46.81,-11.56,36.95,1.38,-12.49,0.31157536785182177,2.178829049837865,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-9.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.3755144032921811,-3.815843621399177,2.1893004115226335,-2.8014403292181074,0.8580246913580246,2.2849794238683128,0.6167695473251029,3.725,6,False,median_degradation 0.617 >= 0.30,,,,,,,
stage2_eem,3,stage2_eem-c3,-1.0,1.0,3,1.0,-1.5,1.5,20,20,90,True,9.6,0.48263510330431797,-13.95,7.75,47.29,-11.56,36.95,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.19270833333333331,-3.9260416666666664,2.2041666666666666,-2.8489583333333335,0.85625,2.301041666666667,0.5244791666666666,4.5649999999999995,6,False,median_degradation 0.524 >= 0.30,,,,,,,
stage2_eem,4,stage2_eem-c4,-1.0,1.0,3,1.0,-1.0,1.5,20,20,90,True,9.87,0.5025153662773654,-13.95,7.75,47.29,-11.56,36.95,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.21479229989868281,-3.791286727456941,2.171225937183384,-2.7436676798378934,0.8601823708206686,2.265450861195542,0.5374873353596757,4.5649999999999995,6,False,median_degradation 0.537 >= 0.30,,,,,,,
stage2_eem,5,stage2_eem-c5,-1.0,1.0,3,1.0,-0.5,1.5,20,20,90,True,9.72,0.4913016050565525,-13.95,8.19,47.29,-11.56,36.95,1.38,-12.49,0.5235580627722556,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.15740740740740752,-3.8652263374485596,2.1893004115226335,-2.8014403292181074,0.8580246913580246,2.2849794238683128,0.5077160493827161,4.785,6,False,median_degradation 0.508 >= 0.30,,,,,,,
stage2_eem,6,stage2_eem-c6,-1.0,1.0,3,1.5,-1.5,1.5,20,20,90,True,9.28,0.45860288070697863,-14.95,7.89,47.29,-11.56,36.95,-0.91,-12.49,0.4920629489394936,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.30455095116393105,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-14.66,-12.45,0.14978448275862066,-4.095905172413794,2.245689655172414,-2.981681034482759,1.0980603448275863,2.345905172413793,0.6239224137931034,3.4899999999999998,6,False,median_degradation 0.624 >= 0.30,,,,,,,
stage2_eem,7,stage2_eem-c7,-1.0,1.0,3,1.5,-1.0,1.5,20,20,90,True,9.54,0.47839270614809004,-14.95,7.89,47.29,-11.56,36.95,-0.91,-12.49,0.4920629489394936,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.30455095116393105,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-14.66,-12.45,0.17295597484276726,-3.957023060796646,2.2117400419287216,-2.873165618448638,1.0953878406708595,2.309224318658281,0.6341719077568133,3.4899999999999998,6,False,median_degradation 0.634 >= 0.30,,,,,,,
stage2_eem,8,stage2_eem-c8,-1.0,1.0,3,1.5,-0.5,1.5,20,20,90,True,9.4,0.46725063341180484,-14.95,8.34,47.29,-11.56,36.95,-0.91,-12.49,0.5362524072280745,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.30455095116393105,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-14.66,-12.45,0.11276595744680856,-4.030851063829787,2.2297872340425533,-2.9308510638297878,1.0968085106382979,2.328723404255319,0.6047872340425532,3.715,6,False,median_degradation 0.605 >= 0.30,,,,,,,
stage3_all_three,0,stage3_all_three-c0,-1.0,1.0,3,1.0,-1.0,1.0,20,20,90,True,9.87,0.5025153662773654,-13.95,7.75,47.29,-11.56,36.95,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.21479229989868281,-3.791286727456941,2.171225937183384,-2.7436676798378934,0.8601823708206686,2.265450861195542,0.5374873353596757,4.5649999999999995,6,False,median_degradation 0.537 >= 0.30,,,,,,,
stage3_all_three,1,stage3_all_three-c1,-1.0,1.0,3,1.0,-1.0,1.5,20,20,90,True,9.87,0.5025153662773654,-13.95,7.75,47.29,-11.56,36.95,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.21479229989868281,-3.791286727456941,2.171225937183384,-2.7436676798378934,0.8601823708206686,2.265450861195542,0.5374873353596757,4.5649999999999995,6,False,median_degradation 0.537 >= 0.30,,,,,,,
stage3_all_three,2,stage3_all_three-c2,-1.0,1.0,3,1.0,-1.0,2.0,20,20,90,True,9.87,0.5025153662773654,-13.95,7.75,47.29,-11.56,36.95,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.21479229989868281,-3.791286727456941,2.171225937183384,-2.7436676798378934,0.8601823708206686,2.265450861195542,0.5374873353596757,4.5649999999999995,6,False,median_degradation 0.537 >= 0.30,,,,,,,
